,Unnamed: 0,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
12122,12122,Bakı,Opel,Astra,2002,Hetçbek,Göy,1.6 L/101 a.g./Benzin,278 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 500 AZN,5.0,2.0,Avropa
12123,12123,Bakı,Kia,Sorento,2011,Offroader / SUV,Yaş Asfalt,2.0 L/184 a.g./Dizel,192 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 000 AZN,7.0,1.0,Koreya
12124,12124,İsmayıllı,Hyundai,i30,2008,Universal,Yaş Asfalt,1.6 L/115 a.g./Dizel,181 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",15 500 AZN,5.0,2.0,Avropa
12125,12125,Qazax,Mercedes,C 180,1997,Sedan,Göy,1.8 L/122 a.g./Benzin,449 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",9 600 AZN,5.0,3.0,Avropa
12126,12126,Bakı,BMW,535,2015,Sedan,Göy,3.0 L/306 a.g./Benzin,67 981 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",35 500 USD,5.0,0.0,Amerika
12127,12127,Bakı,Kia,Rio,2006,Hetçbek,Gümüşü,1.5 L/110 a.g./Dizel,240 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 000 AZN,5.0,1.0,Avropa
12128,12128,Gəncə,Nissan,Sunny,2014,Sedan,Gümüşü,1.5 L/99 a.g./Benzin,85 500 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 500 AZN,5.0,1.0,Rəsmi diler
12129,12129,Bakı,Audi,A6,2014,Sedan,Ağ,2.8 L/204 a.g./Benzin,88 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",24 100 USD,5.0,1.0,Rəsmi diler
12130,12130,Bakı,Hyundai,ix35,2013,Offroader / SUV,Qara,2.0 L/163 a.g./Benzin,183 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",24 500 AZN,5.0,2.0,Digər
12131,12131,Bakı,BMW,525,2006,Sedan,Qara,2.5 L/218 a.g./Benzin,104 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 500 AZN,5.0,1.0,Avropa
12132,12132,Bakı,Chevrolet,Equinox,2018,Offroader / SUV,Göy,1.5 L/177 a.g./Benzin,20 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 700 AZN,5.0,1.0,Avropa
12133,12133,Bakı,BMW,530,2019,Sedan,Göy,2.0 L/249 a.g./Benzin,103 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",41 500 USD,5.0,1.0,Avropa
12134,12134,Bakı,Land Rover,Discovery,2016,Offroader / SUV,Yaş Asfalt,3.0 L/340 a.g./Benzin,123 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",39 000 USD,7.0,1.0,Avropa
12135,12135,Bakı,Hyundai,Sonata,2013,Sedan,Gümüşü,2.4 L/178 a.g./Benzin,177 028 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",20 300 AZN,5.0,2.0,Avropa
12136,12136,Bakı,Bentley,Flying Spur,2022,Sedan,Qara,4.0 L/550 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",313 000 EUR,5.0,1.0,Rəsmi diler
12137,12137,Bakı,Volkswagen,ID.4,2022,Offroader / SUV,Ağ,0.0 L/204 a.g./Elektro,0 km,Avtomat,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib",44 500 USD,5.0,1.0,Avropa
12138,12138,Bakı,Land Rover,Discovery,2016,Offroader / SUV,Qara,3.0 L/340 a.g./Benzin,89 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",43 900 USD,5.0,1.0,Avropa
12139,12139,Bakı,BMW,528,2014,Sedan,Qara,2.0 L/245 a.g./Benzin,156 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",22 700 USD,5.0,1.0,Avropa
12140,12140,Bakı,Land Rover,Range Rover,2006,Offroader / SUV,Göy,4.2 L/396 a.g./Benzin,950 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 800 AZN,5.0,1.0,Avropa
12141,12141,Bakı,Mercedes,E 200,2018,Sedan,Qara,2.0 L/150 a.g./Dizel,127 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",41 000 USD,5.0,2.0,Avropa
12142,12142,Bakı,Mercedes,E 200,2019,Sedan,Qara,2.0 L/184 a.g./Benzin,80 500 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",45 000 USD,5.0,1.0,Avropa
12143,12143,Bakı,BMW,520,2016,Sedan,Ağ,2.0 L/190 a.g./Dizel,137 252 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",28 700 USD,4.0,2.0,Koreya
