,Unnamed: 0,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Qiyməti,Yerlərin sayı,Sahiblər,Hansı bazar üçün yığılıb
0,0,Bakı,Hyundai,Sonata,2014,Sedan,Qara,2.4 L/178 a.g./Benzin,123 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 900 AZN,5.0,1.0,Avropa
1,1,Bakı,Fiat,Fiorino,2022,Minivan,Ağ,1.4 L/77 a.g./Qaz,0 km,Mexaniki,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",30 400 AZN,5.0,1.0,Avropa
2,2,Bakı,Lexus,ES 300h,2022,Sedan,Ağ,2.5 L/215 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",63 500 USD,5.0,1.0,Avropa
3,3,Bakı,Nissan,Tiida,2012,Hetçbek,Qızılı,1.5 L/110 a.g./Benzin,36 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 300 AZN,5.0,1.0,Yaponiya
4,4,Bakı,BMW,520,2014,Sedan,Ağ,2.0 L/245 a.g./Benzin,126 500 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",38 500 AZN,4.0,1.0,Rəsmi diler
5,5,Bakı,Mercedes,C 300,2016,Sedan,Qara,2.0 L/245 a.g./Benzin,80 300 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",26 900 USD,5.0,1.0,Amerika
6,6,Bakı,Hyundai,Sonata,2007,Sedan,Ağ,2.0 L/165 a.g./Benzin,201 168 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,4.0,2.0,Rəsmi diler
7,7,Bakı,BMW,750,2010,Sedan,Qara,4.4 L/407 a.g./Hibrid,150 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 000 USD,5.0,1.0,Avropa
8,8,Bakı,Honda,CR-V,2008,Offroader / SUV,Ağ,2.4 L/170 a.g./Benzin,240 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 950 AZN,5.0,2.0,Yaponiya
9,9,Bakı,BMW,528,2015,Sedan,Ağ,2.0 L/245 a.g./Benzin,88 300 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 800 USD,5.0,1.0,Avropa
10,10,Bakı,Nissan,Juke,2012,Offroader / SUV,Göy,1.6 L/200 a.g./Benzin,140 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 500 AZN,5.0,1.0,Amerika
11,11,Bakı,BMW,330,2019,Sedan,Boz,2.0 L/249 a.g./Benzin,50 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",37 999 USD,5.0,2.0,Avropa
12,12,Lənkəran,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",67 900 USD,5.0,0.0,Rəsmi diler
13,13,Bakı,BMW,328,2014,Sedan,Qara,2.0 L/245 a.g./Benzin,160 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 800 USD,5.0,0.0,Avropa
14,14,Lənkəran,Toyota,Camry,2022,Sedan,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",41 900 USD,5.0,0.0,Rəsmi diler
15,15,Bakı,Toyota,Prius,2008,Liftbek,Göy,1.5 L/75 a.g./Hibrid,240 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 500 AZN,4.0,1.0,Avropa
16,16,Sumqayıt,Mercedes,E 220,2007,Universal,Qara,2.2 L/170 a.g./Dizel,227 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",21 400 AZN,5.0,1.0,Avropa
17,17,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Qara,2.7 L/167 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",60 900 USD,5.0,1.0,Avropa
18,18,Lənkəran,Toyota,Land Cruiser,2022,Offroader / SUV,Qara,3.5 L/415 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",124 900 USD,5.0,0.0,Avropa
19,19,Sumqayıt,Opel,Zafira,2005,Minivan,Qara,2.2 L/125 a.g./Benzin,324 949 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 600 AZN,7.0,0.0,Avropa
20,20,Bakı,Porsche,Cayenne,2008,Offroader / SUV,Ağ,3.6 L/290 a.g./Benzin,185 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 500 AZN,5.0,1.0,Avropa
21,21,Sumqayıt,LADA (VAZ),Niva,2014,Offroader / SUV,Ağ,1.7 L/80 a.g./Benzin,67 000 km,Mexaniki,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 500 AZN,5.0,0.0,Rusiya
22,22,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Ağ,2.8 L/200 a.g./Dizel,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",68 900 USD,7.0,1.0,Rəsmi diler
23,23,Lənkəran,Toyota,Corolla Cross,2022,Offroader / SUV,Göy,2.0 L/199 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",33 500 USD,5.0,0.0,Rəsmi diler
24,24,Sumqayıt,Toyota,Vitz,2012,Hetçbek,Qara,1.3 L/95 a.g./Benzin,50 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 700 AZN,5.0,1.0,Yaponiya
25,25,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Ağ,2.7 L/167 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",60 900 USD,5.0,1.0,Avropa
26,26,Sumqayıt,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.0 L/265 a.g./Benzin,179 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",31 500 AZN,5.0,2.0,Amerika
27,27,Sumqayıt,Mercedes,B 170,2010,Hetçbek,Qara,1.7 L/116 a.g./Benzin,84 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",15 000 AZN,5.0,1.0,Rəsmi diler
28,28,Bakı,Toyota,Highlander,2022,Offroader / SUV,Qara,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",67 500 USD,7.0,1.0,Rəsmi diler
29,29,Sumqayıt,Lexus,IS 200,2017,Sedan,Ağ,2.0 L/245 a.g./Benzin,97 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 300 USD,5.0,1.0,Avropa
30,30,Bakı,Hyundai,Matrix,2007,Minivan,Gümüşü,1.5 L/102 a.g./Dizel,265 745 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 600 AZN,5.0,1.0,Avropa
31,31,Bakı,Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,195 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 900 AZN,7.0,1.0,Koreya
32,32,Lənkəran,Toyota,Land Cruiser,2022,Offroader / SUV,Ağ,3.5 L/415 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",124 900 USD,5.0,0.0,Avropa
33,33,Sumqayıt,BMW,320,2002,Sedan,Gümüşü,2.2 L/170 a.g./Benzin,245 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 300 AZN,5.0,1.0,Avropa
34,34,Bakı,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.0 L/173 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",36 800 USD,5.0,1.0,Rəsmi diler
35,35,Lənkəran,Toyota,Corolla,2022,Sedan,Qara,1.6 L/124 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",27 200 USD,5.0,0.0,Avropa
36,36,Bakı,Changan,CS 85,2022,Offroader / SUV,Ağ,2.0 L/233 a.g./Benzin,5 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",56 900 AZN,5.0,1.0,Avropa
37,37,Bakı,Haval,H6,2022,Offroader / SUV,Mavi,1.5 L/243 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",58 900 AZN,5.0,1.0,Rəsmi diler
38,38,Bakı,Mitsubishi,Outlander,2022,Offroader / SUV,Yaş Asfalt,2.5 L/181 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",40 900 USD,7.0,1.0,Avropa
39,39,Bakı,Geely,Okavango,2022,Offroader / SUV,Ağ,1.5 L/190 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",47 900 AZN,5.0,1.0,Avropa
40,40,Bakı,Land Rover,Range Rover,2013,Offroader / SUV,Qara,5.0 L/510 a.g./Benzin,212 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",68 500 USD,5.0,1.0,Avropa
41,41,Goranboy,Baic,X7,2021,Offroader / SUV,Ağ,1.5 L/150 a.g./Benzin,17 278 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",49 000 AZN,5.0,1.0,Amerika
42,42,Bakı,Volkswagen,Passat,2013,Sedan,Qara,2.0 L/200 a.g./Benzin,261 500 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",16 900 AZN,5.0,1.0,Rəsmi diler
43,43,Bakı,Mitsubishi,Pajero,2010,Offroader / SUV,Ağ,3.5 L/202 a.g./Benzin,151 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 400 AZN,5.0,2.0,Avropa
44,44,Bakı,Volkswagen,Multivan,2017,Minivan,Qara,2.0 L/204 a.g./Benzin,85 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",36 000 USD,7.0,1.0,Avropa
45,45,Sumqayıt,Mercedes,E 240,1999,Sedan,Qara,2.4 L/170 a.g./Benzin,250 580 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 800 AZN,5.0,2.0,Avropa
46,46,Bakı,Volkswagen,Caddy,2008,Furqon,Ağ,2.0 L/140 a.g./Dizel,240 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 800 AZN,2.0,2.0,Avropa
47,47,Bakı,Chevrolet,Lacetti,2009,Hetçbek,Ağ,1.6 L/109 a.g./Benzin,318 572 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 500 AZN,5.0,1.0,Avropa
48,48,Bakı,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.0 L/173 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",36 800 USD,5.0,1.0,Rəsmi diler
49,49,Lənkəran,Toyota,Corolla,2022,Sedan,Qara,1.6 L/124 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",27 200 USD,5.0,0.0,Avropa
50,50,Sumqayıt,Mercedes,E 240,2000,Sedan,Yaşıl,2.4 L/170 a.g./Benzin,381 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 200 AZN,5.0,2.0,Avropa
51,51,Sumqayıt,Chevrolet,Cruze,2014,Sedan,Gümüşü,1.4 L/153 a.g./Benzin,190 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 900 AZN,5.0,1.0,Avropa
52,52,Bakı,Maserati,Quattroporte,2014,Sedan,Qara,3.0 L/410 a.g./Benzin,85 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",46 000 USD,5.0,1.0,Rəsmi diler
53,53,Bakı,Toyota,Land Cruiser,2004,Offroader / SUV,Ağ,4.5 L/224 a.g./Benzin,282 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",22 000 AZN,5.0,2.0,Yaponiya
54,54,Sumqayıt,Hyundai,Santa Fe,2010,Offroader / SUV,Qara,3.5 L/280 a.g./Benzin,178 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 900 AZN,7.0,1.0,Rəsmi diler
55,55,Sumqayıt,Kia,Cerato,2014,Sedan,Qara,1.8 L/149 a.g./Benzin,150 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",19 500 AZN,5.0,2.0,Amerika
56,56,Lənkəran,Toyota,Land Cruiser,2022,Offroader / SUV,Ağ,4.0 L/271 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",92 000 USD,5.0,0.0,Avropa
57,57,Sumqayıt,Mercedes,GL 450,2008,Offroader / SUV,Ağ,4.7 L/340 a.g./Benzin,198 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",20 500 USD,7.0,1.0,Avropa
58,58,Sumqayıt,Mercedes,Vito 115,2010,Minivan,Gümüşü,2.2 L/150 a.g./Dizel,380 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 500 AZN,5.0,2.0,Avropa
59,59,Sumqayıt,Mercedes,C 280,2000,Sedan,Gümüşü,2.8 L/193 a.g./Benzin,285 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 800 AZN,5.0,1.0,Avropa
60,60,Sumqayıt,Opel,Astra,2006,Universal,Qırmızı,1.3 L/90 a.g./Dizel,170 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 200 AZN,5.0,1.0,Avropa
61,61,Bakı,Mercedes,E 240,2003,Sedan,Ağ,2.6 L/177 a.g./Benzin,295 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 800 AZN,5.0,1.0,Avropa
62,62,Bakı,Land Rover,Discovery,2017,Offroader / SUV,Yaş Asfalt,3.0 L/258 a.g./Dizel,92 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",53 800 USD,5.0,2.0,Avropa
63,63,Sumqayıt,Hyundai,Grandeur,2007,Sedan,Qara,2.2 L/155 a.g./Dizel,297 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 800 AZN,5.0,1.0,Avropa
64,64,Sumqayıt,Nissan,Qashqai,2008,Offroader / SUV,Ağ,2.0 L/140 a.g./Benzin,264 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 000 AZN,5.0,2.0,Avropa
65,65,Bakı,Toyota,Prius,2011,Liftbek,Qırmızı,1.8 L/99 a.g./Hibrid,111 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 000 AZN,5.0,1.0,Amerika
66,66,Lənkəran,Toyota,Prado,2022,Offroader / SUV,Qara,2.8 L/200 a.g./Dizel,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",59 500 USD,5.0,0.0,Avropa
67,67,Sumqayıt,Ford,Fusion,2015,Sedan,Yaş Asfalt,1.5 L/181 a.g./Benzin,98 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",18 900 AZN,5.0,1.0,Avropa
68,68,Sumqayıt,Mercedes,S 500,2007,Sedan,Qara,5.5 L/388 a.g./Benzin,210 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",29 700 AZN,5.0,1.0,Avropa
69,69,Sumqayıt,Opel,Astra,2010,Hetçbek,Yaş Asfalt,1.6 L/105 a.g./Benzin,245 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,5.0,2.0,Rəsmi diler
70,70,Bakı,Opel,Astra,2007,Universal,Göy,1.4 L/90 a.g./Benzin,270 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 500 AZN,5.0,2.0,Avropa
71,71,Lənkəran,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",41 900 USD,5.0,0.0,Avropa
72,72,Bakı,Ford,Fusion,2016,Sedan,Ağ,2.0 L/240 a.g./Benzin,192 799 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",23 400 AZN,5.0,2.0,Avropa
73,73,Bakı,Lexus,NX 200,2022,Offroader / SUV,Qara,2.0 L/150 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",45 500 USD,5.0,1.0,Rəsmi diler
74,74,Bakı,BMW,530e,2021,Sedan,Ağ,2.0 L/292 a.g./Plug-in Hibrid,18 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",66 000 USD,5.0,1.0,Avropa
75,75,Bakı,Mercedes-Maybach,S 580 4MATIC,2022,Sedan,Qara,4.0 L/503 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",347 555 USD,5.0,1.0,Avropa
76,76,Bakı,Nissan,X-Trail,2002,Offroader / SUV,Ağ,2.0 L/150 a.g./Benzin,292 810 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 200 AZN,5.0,2.0,Yaponiya
77,77,Bakı,Audi,A5,2013,Sedan,Ağ,2.0 L/211 a.g./Benzin,185 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",24 800 AZN,5.0,2.0,Rəsmi diler
78,78,Bakı,Chevrolet,Camaro,2011,Kupe,Qara,6.2 L/426 a.g./Benzin,32 093 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",25 000 USD,4.0,1.0,Avropa
79,79,Bakı,BMW,528,2012,Sedan,Yaş Asfalt,2.0 L/245 a.g./Benzin,184 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",16 500 USD,5.0,1.0,Amerika
80,80,Sumqayıt,Chevrolet,Cruze,2014,Sedan,Qara,1.4 L/140 a.g./Benzin,186 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 200 AZN,5.0,3.0,Amerika
81,81,Bakı,BMW,520,2017,Sedan,Qara,2.0 L/190 a.g./Dizel,84 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",42 500 USD,5.0,1.0,Avropa
82,82,Bakı,Opel,Astra,2007,Hetçbek,Gümüşü,1.4 L/90 a.g./Benzin,163 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 700 AZN,5.0,1.0,Avropa
83,83,Bakı,Kia,Sorento,2017,Offroader / SUV,Qara,2.0 L/184 a.g./Dizel,122 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",45 800 AZN,5.0,1.0,Koreya
84,84,Sumqayıt,Opel,Astra,2010,Hetçbek,Yaş Asfalt,1.6 L/105 a.g./Benzin,245 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 500 AZN,5.0,2.0,Rəsmi diler
85,85,Bakı,Opel,Astra,2007,Universal,Göy,1.4 L/90 a.g./Benzin,270 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 500 AZN,5.0,2.0,Avropa
86,86,Lənkəran,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",41 900 USD,5.0,0.0,Avropa
87,87,Salyan,GAZ,31105,2004,Sedan,Qara,2.4 L/142 a.g./Benzin,250 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənib",4 500 AZN,5.0,3.0,Rusiya
88,88,Sumqayıt,Mercedes,S 320,1999,Sedan,Gümüşü,3.2 L/224 a.g./Benzin,338 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 000 AZN,5.0,2.0,Avropa
89,89,Sumqayıt,Kia,Rio,2012,Sedan,Ağ,1.4 L/107 a.g./Benzin,158 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 800 AZN,5.0,1.0,Rəsmi diler
90,90,Sumqayıt,Mercedes,E 250,1994,Sedan,Gümüşü,2.5 L/126 a.g./Dizel,435 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 300 AZN,5.0,1.0,Avropa
91,91,Sumqayıt,LADA (VAZ),Niva,2013,Offroader / SUV,Ağ,1.7 L/80 a.g./Benzin,135 000 km,Mexaniki,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 500 AZN,5.0,2.0,Avropa
92,92,Lənkəran,Toyota,RAV 4,2022,Offroader / SUV,Boz,2.5 L/218 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",41 900 USD,5.0,0.0,Rəsmi diler
93,93,Sumqayıt,Hyundai,Sonata,2006,Sedan,Ağ,2.4 L/161 a.g./Benzin,187 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",14 300 AZN,5.0,1.0,Rəsmi diler
94,94,Bakı,Toyota,RAV 4,2021,Offroader / SUV,Qara,2.0 L/175 a.g./Benzin,9 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",32 000 USD,5.0,1.0,Avropa
95,95,Sumqayıt,Hyundai,Elantra,2010,Sedan,Yaş Asfalt,1.6 L/132 a.g./Benzin,170 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",17 300 AZN,5.0,1.0,Avropa
96,96,Sumqayıt,Hyundai,Sonata,2006,Sedan,Ağ,2.4 L/174 a.g./Benzin,261 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 800 AZN,5.0,2.0,Avropa
97,97,Sumqayıt,Kia,Rio,2005,Hetçbek,Göy,1.5 L/110 a.g./Dizel,296 321 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 500 AZN,5.0,1.0,Avropa
98,98,Sumqayıt,Mercedes,C 180,1995,Sedan,Qara,1.8 L/122 a.g./Benzin,341 621 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",8 600 AZN,5.0,1.0,Avropa
99,99,Sumqayıt,Mercedes,C 230,1999,Sedan,Qara,2.3 L/193 a.g./Benzin,295 639 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",11 800 AZN,5.0,1.0,Avropa
100,100,Sumqayıt,Dacia,Logan,2009,Universal,Boz,1.5 L/86 a.g./Dizel,184 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 000 AZN,7.0,2.0,Avropa
101,101,Sumqayıt,Mercedes,C 230,1998,Sedan,Qara,2.3 L/193 a.g./Benzin,287 335 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 900 AZN,5.0,1.0,Avropa
102,102,Sumqayıt,Mercedes,C 180,1996,Sedan,Gümüşü,1.8 L/122 a.g./Benzin,230 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 000 AZN,5.0,2.0,Avropa
103,103,Bakı,Toyota,RAV 4,2020,Offroader / SUV,Boz,2.0 L/172 a.g./Benzin,14 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",31 200 USD,5.0,1.0,Avropa
104,104,Bakı,Mercedes,C 200,1997,Sedan,Göy,2.0 L/136 a.g./Benzin,330 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",10 900 AZN,5.0,1.0,Avropa
105,105,Bakı,Porsche,Panamera,2010,Liftbek,Qara,3.6 L/300 a.g./Benzin,135 900 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 800 USD,5.0,1.0,Avropa
106,106,Bakı,Changan,Uni-T,2022,Offroader / SUV,Qara,1.5 L/180 a.g./Benzin,2 800 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",47 500 AZN,5.0,1.0,Avropa
107,107,Sumqayıt,Nissan,Tiida,2007,Sedan,Qara,1.6 L/110 a.g./Benzin,192 321 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",13 800 AZN,5.0,1.0,Avropa
108,108,Bakı,Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0 L/367 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",149 500 USD,7.0,1.0,Avropa
109,109,Bakı,Mercedes,GLS 580,2022,Offroader / SUV,Qara,4.0 L/483 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib",188 000 USD,7.0,1.0,Rəsmi diler
110,110,Bakı,Hyundai,Elantra,2015,Sedan,Göy,1.8 L/150 a.g./Benzin,138 404 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",21 800 AZN,5.0,2.0,Avropa
111,111,Bakı,Peugeot,2008,2022,Offroader / SUV,Tünd qırmızı,1.2 L/130 a.g./Benzin,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",54 100 AZN,5.0,1.0,Avropa
112,112,Bakı,Kia,Sorento,2013,Offroader / SUV,Qara,2.0 L/184 a.g./Dizel,146 200 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",34 300 AZN,7.0,1.0,Koreya
113,113,Bakı,Mercedes,E 300 de,2022,Sedan,Qara,2.0 L/306 a.g./Plug-in Hibrid,0 km,Avtomat,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib",76 000 USD,5.0,1.0,Avropa
114,114,Zaqatala,Mitsubishi,Pajero,1994,Offroader / SUV,Gümüşü,2.8 L/125 a.g./Dizel,216 950 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",9 200 AZN,5.0,0.0,Avropa
115,115,Bakı,Hyundai,Elantra,2008,Sedan,Yaş Asfalt,1.6 L/115 a.g./Dizel,175 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",12 500 AZN,4.0,2.0,Avropa
116,116,Bakı,Mazda,6,2020,Sedan,Ağ,2.5 L/192 a.g./Benzin,65 563 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",27 700 USD,5.0,1.0,Rəsmi diler
117,117,Bakı,Porsche,Panamera 4S,2017,Liftbek,Qara,2.9 L/440 a.g./Benzin,56 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",86 000 USD,4.0,1.0,Avropa
118,118,Bakı,Mercedes,C 200,2010,Sedan,Ağ,2.0 L/184 a.g./Benzin,238 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",22 900 AZN,5.0,1.0,Avropa
